Rate,Week,PC,logdose,pred,res,a,b,c,d,SSE
0.028,20,0.3160621762,-3.575550769,0.4061358494,-0.090073673,0.7521030564,2.8119627132,0.0807715108,0.3885464747,0.4032972752
0.084,20,0.7803108808,-2.47693848,0.5803313329,0.199979548,0.7521030564,2.8119627132,0.0807715108,0.3885464747,0.4032972752
0.084,20,0.6476683938,-2.47693848,0.5803313329,0.0673370609,0.7521030564,2.8119627132,0.0807715108,0.3885464747,0.4032972752
0.084,20,0.5544041451,-2.47693848,0.5803313329,-0.025927188,0.7521030564,2.8119627132,0.0807715108,0.3885464747,0.4032972752
0.084,20,0.3430051813,-2.47693848,0.5803313329,-0.237326152,0.7521030564,2.8119627132,0.0807715108,0.3885464747,0.4032972752
0.25,20,0.7699481865,-1.386294361,0.7375468901,0.0324012965,0.7521030564,2.8119627132,0.0807715108,0.3885464747,0.4032972752
0.25,20,0.8839378238,-1.386294361,0.7375468901,0.1463909338,0.7521030564,2.8119627132,0.0807715108,0.3885464747,0.4032972752
0.25,20,0.703626943,-1.386294361,0.7375468901,-0.033919947,0.7521030564,2.8119627132,0.0807715108,0.3885464747,0.4032972752
0.25,20,0.5937823834,-1.386294361,0.7375468901,-0.143764507,0.7521030564,2.8119627132,0.0807715108,0.3885464747,0.4032972752
0.76,20,0.7699481865,-0.274436846,0.7514390434,0.0185091432,0.7521030564,2.8119627132,0.0807715108,0.3885464747,0.4032972752
0.76,20,0.8901554404,-0.274436846,0.7514390434,0.1387163971,0.7521030564,2.8119627132,0.0807715108,0.3885464747,0.4032972752
0.76,20,0.5772020725,-0.274436846,0.7514390434,-0.174236971,0.7521030564,2.8119627132,0.0807715108,0.3885464747,0.4032972752
0.76,20,0.5896373057,-0.274436846,0.7514390434,-0.161801738,0.7521030564,2.8119627132,0.0807715108,0.3885464747,0.4032972752
2.27,20,0.7720207254,0.8197798315,0.7520723906,0.0199483348,0.7521030564,2.8119627132,0.0807715108,0.3885464747,0.4032972752
2.27,20,0.8901554404,0.8197798315,0.7520723906,0.1380830498,0.7521030564,2.8119627132,0.0807715108,0.3885464747,0.4032972752
2.27,20,0.7554404145,0.8197798315,0.7520723906,0.0033680239,0.7521030564,2.8119627132,0.0807715108,0.3885464747,0.4032972752
2.27,20,0.570984456,0.8197798315,0.7520723906,-0.181087935,0.7521030564,2.8119627132,0.0807715108,0.3885464747,0.4032972752
6.8,20,0.8880829016,1.9169226122,0.7521016541,0.1359812474,0.7521030564,2.8119627132,0.0807715108,0.3885464747,0.4032972752
6.8,20,0.8943005181,1.9169226122,0.7521016541,0.142198864,0.7521030564,2.8119627132,0.0807715108,0.3885464747,0.4032972752
6.8,20,0.5336787565,1.9169226122,0.7521016541,-0.218422898,0.7521030564,2.8119627132,0.0807715108,0.3885464747,0.4032972752
6.8,20,0.8880829016,1.9169226122,0.7521016541,0.1359812474,0.7521030564,2.8119627132,0.0807715108,0.3885464747,0.4032972752
0.003,21,0.4172447968,-5.80914299,0.3795936568,0.03765114,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
0.003,21,0.2923686819,-5.80914299,0.3795936568,-0.087224975,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
0.003,21,0.3875123885,-5.80914299,0.3795936568,0.0079187317,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
0.003,21,0.4013875124,-5.80914299,0.3795936568,0.0217938556,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
0.009,21,0.4331020813,-4.710530702,0.412932424,0.0201696573,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
0.009,21,0.4212091179,-4.710530702,0.412932424,0.0082766939,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
0.009,21,0.4172447968,-4.710530702,0.412932424,0.0043123728,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
0.009,21,0.3716551041,-4.710530702,0.412932424,-0.04127732,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
0.028,21,0.5777998018,-3.575550769,0.5263367912,0.0514630106,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
